company_name,area,profit,rent,total_price,size,Latlng,parking_count,subway_station_count,bus_station_count,school_count,restaurant_count,bakery_count,movie_theater_count,park_count,convenience_store_count,department_store_count,supermarket_count,parking,subway_station,bus_station,school,restaurant,bakery,movie_theater,park,convenience_store,department_store,supermarket
新創意小食冷盤專賣店,筲箕灣,140200,53000,1800000,500,"22.2778351,114.2267052",5,0,19,2,20,3,0,1,2,0,2,90,,18,131,7,67,,112,52,,79
淘客小食,屯門,28920,18000,980000,400,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
香港撈麵,青衣,-83883,39800,180000,110,"22.3498879,114.1047512",2,0,7,6,16,2,0,0,3,0,3,79,,509,470,29,155,,,149,,283
Falafel Hut,中上環,33600,27000,650000,200,"22.2830481,114.1269653",8,0,20,4,20,8,0,2,3,1,7,32,,30,89,51,109,,59,83,235,31
摩芽,荃灣,31000,46000,700000,100,"22.325425,114.167036",1,1,15,20,20,12,1,5,7,1,7,232,380,66,137,5,91,211,241,168,253,171
潮洲滷水,馬鞍山,64500,23000,250000,164,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
多滋味,元朗,44900,33000,380000,250,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
回味屋,沙田,25800,11000,650000,200,"22.3766393,114.1915163",2,0,12,7,9,1,0,2,2,0,2,158,,68,103,33,93,,371,41,,34
肥得喜,荔枝角,-42700,35000,300000,500,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
車輪餅小姐,美孚,23000,28000,600000,161,"22.3364255,114.1400969",2,0,8,10,20,9,0,0,1,0,4,16,,182,108,0,8,,,133,,82
娘惹嫁到,西環,-19450,17500,280000,300,"22.2850597,114.1390376",1,0,17,20,20,1,0,1,3,0,2,213,,64,15,58,229,,167,133,,179
繼光香香雞,深水埗,-146900,90000,650000,165,"22.3315027,114.1625713",5,1,15,3,20,7,1,0,11,1,7,99,122,84,114,6,12,265,,63,67,143
Nun Asia,旺角,-57600,49000,70000,450,"22.320332,114.170201",2,1,20,20,20,10,10,0,6,0,13,291,232,4,53,49,55,42,,66,,66
愛茶,炮台山,-74370,45000,168000,200,"22.28755,114.1954311",2,1,19,9,6,3,0,1,0,0,4,176,476,24,33,291,297,,156,,,63
屯の大阪章魚燒 (紅橋店）,屯門,33700,9000,110000,200,"22.4017033,113.9782372",0,0,9,7,20,2,0,0,4,0,2,,,116,41,2,250,,,152,,128
屯の大阪章魚燒 TMTakoyaki  (蝴蝶店）,屯門,32800,35000,220000,300,"22.4017033,113.9782372",0,0,9,7,20,2,0,0,4,0,2,,,116,41,2,250,,,152,,128
2小姐小食館,元朗,-22430,22000,300000,255,"22.442002,114.034203",6,0,1,14,20,4,0,2,3,0,2,219,,348,38,17,57,,253,92,,199
Kbites,堅尼地城,60050,34000,180000,450,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Mini Jobs,葵芳,37000,35000,150000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
胡蘇仔,太子,-45300,39800,138000,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Whatever,元朗,-20000,20000,150000,200,"22.4421605,114.0350309",6,0,0,14,20,3,0,3,2,0,1,115,,,42,10,99,,155,151,,96
緻雅小食,馬鞍山,11900,35000,180000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
三多炸肶,荃灣,39500,52000,120000,200,"22.3733749,114.1160259",5,1,20,16,20,10,0,2,3,0,5,193,418,15,193,63,96,,255,224,,85
The Beef & Leaf,旺角,-51475,48000,100000,480,"22.3201704,114.1693392",1,2,20,20,20,12,7,0,6,0,7,256,116,6,40,5,124,12,,93,,46
Burger Jobs,荃灣,25500,87000,300000,400,"22.3722944,114.1152531",1,0,17,10,20,8,0,2,2,1,9,157,,67,66,38,4,,227,196,246,20
喵Sing人,旺角,41000,33000,350000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
罌粟花,堅尼地城,29000,27000,80000,200,"22.2831427,114.1267982",8,0,19,4,20,7,0,2,3,1,5,2,,45,74,21,94,,29,68,250,46
Chimney Ice-cream,尖沙咀,14800,57000,200000,200,"22.2997197,114.1744049",15,0,12,14,20,11,1,1,5,4,7,74,,47,63,12,64,305,103,213,84,81
Healahomo,旺角,52747,35000,160000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
麒麟小食,天后,-49420,45000,180000,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
興記荳品,荃灣,-71000,58000,150000,100,"22.3625729,114.1147916",7,0,15,6,17,1,0,0,2,0,1,83,,3,113,21,469,,,93,,140
泰芒了,荃灣,73700,52000,165000,100,"22.324058,114.167537",6,1,20,20,20,13,2,5,6,2,8,67,216,34,52,9,1,160,135,37,57,57
爆燒皇,柴灣,15000,48000,130000,400,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
